ID_CAMARA,LUGAR_INFR,AMBITO,TIPOVIA,VIA,NUMERO_PK,UTM_X,UTM_Y,LATITUD,LONGITUD
22,Av Ramón y Cajal 81 C2,Interior M-30,Avenida,Av Ramón y Cajal,81,443522.52,4478195.9,40.452505811602116,-3.666056011422495
23,Po Cerezos - Av. Ramon Cajal,Interior M-30,Paseo,Cerezos,0,443593.17,4478220.12,40.452728794757405,-3.6652250195573326
24,Av America VS - A2PK4.000 ENT,Interior M-30,Avenida,América,4,443599.12,4477164.3,40.44321784923262,-3.665061088864635
25,Av America - A2PK4.000 ENT C1,Interior M-30,Avenida,América,4,443605.73,4477152.26,40.443109835218614,-3.6649820819850625
26,Av America - A2PK4.000 ENT C2,Interior M-30,Avenida,América,4,443605.73,4477152.26,40.443109835218614,-3.6649820819850625
27,Av Brasilia 33,Interior M-30,Avenida,Brasilia,33,443913.71,4476907.07,40.440921870476316,-3.6613290697301903
28,Av Brasilia - junto n31,Interior M-30,Avenida,Brasilia,31,443917.46,4476773.28,40.43971687431363,-3.6612730452562365
29,Av Bonn - junto n23,Interior M-30,Avenida,Bonn,23,443917.13,4476649.4,40.43860087711033,-3.6612660014413203
30,Av Brasilia 11,Interior M-30,Avenida,Brasilia,11,443921.94,4476601.18,40.43816681078886,-3.6612050351791052
31,C Brescia - junto n19,Interior M-30,Calle,Brescia,19,443907.75,4476416.8,40.43650486312213,-3.6613560599580044
32,C Roberto Domingo 3,Interior M-30,Calle,Roberto Domingo,3,443925.44,4476253.26,40.43503280248813,-3.661133068331676
33,C Alcala - Roberto Domingo C1,Interior M-30,Calle,Roberto Domingo,0,443859.22,4475848.48,40.43138186475445,-3.6618780139945906
34,C Alcala - Roberto Domingo C2,Interior M-30,Calle,Roberto Domingo,0,443859.22,4475848.48,40.43138186475445,-3.6618780139945906
35,C Alcala 239 - Roberto Domingo,Interior M-30,Calle,Roberto Domingo,239,443885.74,4475855.94,40.43145085787943,-3.6615660318503394
36,C ODonnell 65 C1,Interior M-30,Calle,O´Donnell,65,443314.23,4474706.55,40.42105779976676,-3.668201008940475
37,C ODonnell 65 C2,Interior M-30,Calle,O´Donnell,65,443314.23,4474706.55,40.42105779976676,-3.668201008940475
38,C Alcalde Sainz de Baranda C1,Interior M-30,Calle,Alcalde Sainz de Baranda,0,443554.41,4474549.67,40.41966086776238,-3.6653560706166433
39,C Alcalde Sainz de Baranda C2,Interior M-30,Calle,Alcalde Sainz de Baranda,0,443554.41,4474549.67,40.41966086776238,-3.6653560706166433
40,C Estrella Polar 19 C1,Interior M-30,Calle,Estrella Polar,19,443647.48,4473601.42,40.41112482039134,-3.664175069588446
41,C Estrella Polar 19 C2,Interior M-30,Calle,Estrella Polar,19,443647.48,4473601.42,40.41112482039134,-3.664175069588446
